symbol,side,score,signal_time,entry_time,exit_time,entry,sl,tp1,tp2,tp3,tp4,highest_tp,status,realized_r,entry_type,scenario_key
ETHUSDT,SHORT,72,2026-04-03 13:00:00+00:00,,2026-04-04 01:00:00+00:00,2064.83,2087.117245,2046.8075,2034.97,2015.55,1936.54,0,EXPIRED,0.0,ORDER BLOCK 50% + HTF VP,ETHUSDT:SHORT:PSH
ETHUSDT,LONG,99,2026-04-05 23:15:00+00:00,,2026-04-06 11:15:00+00:00,2075.8639583333334,2042.8055134205447,2099.9241666666667,2155.842291666667,2165.8395833333334,2200.11,0,EXPIRED,0.0,FVG 50% + HTF VP,ETHUSDT:LONG:PML
ETHUSDT,SHORT,73,2026-04-06 13:00:00+00:00,2026-04-06 14:00:00+00:00,2026-04-06 20:15:00+00:00,2151.8008333333332,2177.6377012499997,2133.0825,2114.3641666666667,2095.99,2069.25,1,CLOSED,0.1811,ORDER BLOCK 50% + HTF VP,ETHUSDT:SHORT:PWH
ETHUSDT,SHORT,83,2026-04-06 22:30:00+00:00,,2026-04-07 10:30:00+00:00,2151.8008333333332,2170.4277012499997,2133.0825,2123.23,2114.3641666666667,2081.0,0,EXPIRED,0.0,FVG 50% + HTF VP,ETHUSDT:SHORT:PWH
ETHUSDT,SHORT,72,2026-04-07 11:00:00+00:00,2026-04-07 17:30:00+00:00,2026-04-07 21:00:00+00:00,2101.105,2136.1493940920864,2058.2091666666665,2049.4725,2015.55,1905.91,0,CLOSED,-1.0,FVG 50% + HTF VP,ETHUSDT:SHORT:PWH
ETHUSDT,LONG,76,2026-04-07 21:15:00+00:00,,2026-04-08 09:15:00+00:00,2110.685,2074.3276142034665,2139.86,2174.41,2185.834166666667,2385.78,0,EXPIRED,0.0,FVG + ORDER BLOCK + HTF VP,ETHUSDT:LONG:PDL
ETHUSDT,LONG,84,2026-04-09 05:45:00+00:00,2026-04-09 06:15:00+00:00,2026-04-09 11:15:00+00:00,2177.7250000000004,2156.7334125,2193.23,2218.9,2238.66,2246.3,1,CLOSED,0.1847,ORDER BLOCK 50% + HTF VP,ETHUSDT:LONG:PDL
ETHUSDT,LONG,89,2026-04-09 15:45:00+00:00,2026-04-09 23:00:00+00:00,2026-04-12 12:45:00+00:00,2186.3762500000003,2151.876705763781,2213.14,2246.3,2269.65,2385.78,3,CLOSED,1.2316,ORDER BLOCK 50% + HTF VP,ETHUSDT:LONG:PDL
ETHUSDT,SHORT,78,2026-04-14 15:00:00+00:00,,2026-04-15 03:00:00+00:00,2375.77,2421.030226256038,2340.01,2294.09,2264.04,2239.49,0,EXPIRED,0.0,FVG 50%,ETHUSDT:SHORT:PMH
ETHUSDT,LONG,80,2026-04-19 11:15:00+00:00,2026-04-19 16:45:00+00:00,2026-04-19 18:45:00+00:00,2308.165,2287.8277525,2324.4895833333335,2336.6087500000003,2353.99,2372.9662500000004,0,CLOSED,-1.0,ORDER BLOCK 50% + HTF VP,ETHUSDT:LONG:PDL
