symbol,side,score,signal_time,entry_time,exit_time,entry,sl,tp1,tp2,tp3,tp4,highest_tp,status,realized_r,entry_type,scenario_key
ZECUSDT,SHORT,76,2026-04-05 13:15:00+00:00,2026-04-05 15:15:00+00:00,2026-04-06 00:15:00+00:00,240.94,248.22316414259848,235.26541666666668,231.39499999999998,221.68,215.6,0,CLOSED,-1.0,FVG 50% + HTF VP,ZECUSDT:SHORT:PWH
ZECUSDT,SHORT,90,2026-04-08 19:00:00+00:00,,2026-04-09 07:00:00+00:00,333.2,341.2378283403637,326.47270833333334,320.83,312.16,307.1,0,EXPIRED,0.0,FVG + ORDER BLOCK + HTF VP,ZECUSDT:SHORT:PDH
ZECUSDT,LONG,74,2026-04-09 18:15:00+00:00,,2026-04-10 06:15:00+00:00,322.39,308.5010206135088,335.7175,391.52,339.85,,0,EXPIRED,0.0,FVG 50% + HTF VP,ZECUSDT:LONG:PDL
ZECUSDT,SHORT,93,2026-04-10 16:45:00+00:00,2026-04-10 17:30:00+00:00,2026-04-11 08:30:00+00:00,378.54499999999996,395.8248606672268,364.12,352.27,336.62145833333335,324.34,1,CLOSED,0.2087,ORDER BLOCK 50%,ZECUSDT:SHORT:PDH
ZECUSDT,LONG,80,2026-04-12 13:30:00+00:00,2026-04-12 14:00:00+00:00,2026-04-12 15:15:00+00:00,365.69124999999997,361.95349531458584,368.58,371.04729166666664,374.0,377.6052083333334,0,CLOSED,-1.0,ORDER BLOCK 50% + HTF VP,ZECUSDT:LONG:PDL
ZECUSDT,SHORT,70,2026-04-13 08:15:00+00:00,2026-04-13 11:00:00+00:00,2026-04-13 19:45:00+00:00,366.03625,380.55550559444606,355.44,334.96541666666667,328.75125,321.69,1,CLOSED,0.1825,FVG 50% + HTF VP,ZECUSDT:SHORT:PDH
ZECUSDT,LONG,80,2026-04-13 20:00:00+00:00,2026-04-14 03:15:00+00:00,2026-04-14 16:30:00+00:00,358.13,345.7994013437403,368.76,375.0,394.0,369.61,3,CLOSED,1.2848,ORDER BLOCK 50% + HTF VP,ZECUSDT:LONG:PDL
ZECUSDT,LONG,89,2026-04-16 20:00:00+00:00,2026-04-16 22:00:00+00:00,2026-04-17 05:00:00+00:00,339.44,331.38175321826503,346.08,350.29,356.509375,363.68,0,CLOSED,-1.0,FVG 50%,ZECUSDT:LONG:PDL
ZECUSDT,LONG,97,2026-04-17 13:15:00+00:00,2026-04-17 17:15:00+00:00,2026-04-17 19:00:00+00:00,339.08187499999997,328.6164255160775,347.6375,357.52,371.77,349.25,0,CLOSED,-1.0,FVG 50% + HTF VP,ZECUSDT:LONG:PDL
ZECUSDT,SHORT,73,2026-04-17 19:15:00+00:00,2026-04-18 00:15:00+00:00,2026-04-19 13:00:00+00:00,334.365,350.4686712309792,321.69,312.16,289.31,261.99,1,CLOSED,0.1968,FVG 50% + HTF VP,ZECUSDT:SHORT:PDH
